POS RK,QB,QB_Notes,RB,RB_Notes,WR,WR_Notes,TE,TE_Notes,DEF,DEF_Notes,K,K_Notes
1,Josh Allen,"Josh Allen obviously had a great year last year, propelled by 12 rushing TDs. That many TDs is usually a sign of regression, but he takes 37% of runs from inside of the 5 (2nd highest in the league among QBs) so this number is attainable again. They didn't do much to bolster the receiving room, but another year of chemistry should prove to support at least a similar, if not better, passing outlook. Draft with confidence",Bijan Robinson,"Bijan Robinson is as close to a safe great pick that you can make at running back. Great snap %, great talent, and little competition. He also earned ~4 targets a game last year, and racked up over 400 receiving yards. Getting 70% of the carries from within 5 yards means he's still a good bet for 10+ TDs. Draft with confidence.",Jamarr Chase,"Led the league in targets
Still a horrible defense, #1 option in great offense
Situation hasn't changed. Don't overthink it",Trey Mcbride,"Exact same situation as last year
26.7 pts/100 snap, 16% util, 28% tgt share
All ELITE numbers
Most TE tgts inside 10 yds, only 2 TDs
Will score more next year undoubtedly
Clear path to TE1",,,,
2,Jalen Hurts,"Jalen Hurts is currently going as the 4 or 5 QB, but he has QB1 upside. Hurts was a top option last year despite throwing for less than 3k yards. The tush push lives to see another year and the passing stats can't possibly go down, so I expect a big year for Hurts. Expect more passing and an excellent year.",Jahmyr Gibbs,"While he does split time with Montgomery, when he is on the field the Lions put the ball in his hands and he is electric. Great utilization % and tied with his running mate for most PPR points per 100 snaps. While I do think this offense gets slightly worse compared to last year, Gibbs is an incredible player that is deserving of his high ADP. Plus we've seen that if Monty misses time, Gibbs becomes the best fantasy player we've seen since prime CMC",Ceedee Lamb,"Ceedee Lamb showed last year he could still be a WR1 even without Dak Prescott. He averaged over 10 targets, and finished with 150 targets despite missing a couple games. Dak is back, Parsons is gone, and Pickens is here. Even though Pickens will take way targets, it could let Ceedee line up in the slot more which is great. Post Parsons trade Ceedee is an excellent option",Brock Bowers,"27.5 pts/100 snap, 17% util, 26% tgt share
All of these are top 5 values
Upgrade at QB, no pass catching help
not counting Amari Cooper
No reason to not have a monster year",,,,
3,Lamar Jackson,"Lamar Jackson was a beast last year, leading the league in rushing yards among QBs while also throwing 41 TDs. This will likely be the best passing season we'll see from Lamar, so expect some passing regression. Rushing upside is still strong as ever with Derrick Henry to keep defenses honest, solid top 3 option.",Saquon Barkley,"Saquon obviously had an insane season last year, but is unlikely to repeat it. 2k yard seasons are hard enough as is, much less back to back. While I do think this remains a run heavy powerhouse with plenty of opportunity for yards and TDs, I don't expect an overall RB1 finish from Barkley. Still a fantastic option though",Justin Jefferson,"New QB makes it a bit iffy, but did well with Darnold
30% target within 10 is great
30% target share is ELITE, Addison will miss time
Good defense lowers need to pass
Safe option every healthy year. 
Hamstring injury to watch, could be lingering",George Kittle,"Less util and lower tgt share, still elite
Even better pts/100 snaps
2nd most TDs usually sign for regression,
but WR room is still bad so could repeat
Less total volume, needs valuable passes",,,,
4,Jayden Daniels,"Jayden Daniels burst onto the scene last year, with the 2nd most QB rushing yards while still throwing 25 TDs (1 less than Mahomes). Aside from Deebo and losing Brob, the situation has stayed largely the same. Barring injury, expect another great year from Daniels.",Derrick Henry,"Old man Henry is bound to fall off eventually, but I'm not betting on it yet. Henry had ELITE usage within 5 yards, handling 95% of the carries there. Since I still expect this offense to be great, there will be plenty of TDs for the king. Maybe we see a few less big runs, but with Lamar healthy keeping defensive ends honest there will be room for Henry to have another RB1 year",Malik Nabers,"Incredible targets, 2nd in league (170)
Target share from 10yd incredible, 42%
Not many overall 10yd targets due to bad offense
QB situation at worst stayed same, likely better
31% target share incredible
Points per 100 snaps not as good, util very good
Massive overall WR1 potential, biggest holdback is poor offense",Travis Kelce,"Average pts/100 snaps, good util, great tgt share
Yes he's slowing down, but volume is still
massive for him. 22 more tgts than next guy,
3rd most targets
He will easily get top 5 on volume alone",,,,
5,Joe Burrow,"Typically, QBs don't break into this upper tier without some serious rushing work to back it up. The exception here is Joe Burrow throwing the ball 652 times, 70 more than the next guy up. While this is a number that screams regression, if anything the defense looks worse this preseason than it did last year. I wouldn't be surprised if he led the league in passing again this year.",Christian McCaffrey,"We all know what CMC is at this point. If he's healthy, he's likely the RB1 or at the very least top 3. If not, well, we saw what happened last year. Given his massive upside, he's falling towards the end of the first round. Ask yourself how comfortable you are with risk, and you have your answer on where to draft him. If you do, at least make sure to get Brob or Guerendo as  handcuff.",Nico Collins,"Good redzone target odds
Only ~8 targets per game
Incredible points per 100 snaps, high value targets
Good utilization rates, 20%
Great yards per catch, healthy season could be 1500+ yards
No Diggs, shld have a good share",David Njoku,"Great efficiency, 25 pts/100 snaps
Average tgt share 15%
When Flacco was in last time, he was great
With competent passing and health, he
should be awesome
37% tgt share within 10yds, great value
8.8 tgt/G is ELITE",,,,
6,Bo Nix,"Myself and many others thought Nix would bust last year. By the second half of the season, those thoughts were forgotten, as he grew in confidence and looked better every week. Nix also was sneaky good on the fround, with 430 rushing yards and getting 24% of rushes inside the 5. JK Dobbins could take some of that away, but I still see Nix with good rushing upside, both yards and TDs. The biggest thing hurting him now is a good defense that will keep him from truly airing it out, but he'll still be a solid play.",Chase Brown,"Once Zack Moss was out of the picture, Chase Brown was a machine. He lead all RBs in snaps/G in the second half of the season, while still having 33 PPR points per 100 snaps. 3.5 receptions per game is great, and we see no reason for that to stop. The Bengals made no major moves to strengthen their RB room, expect Chase Brown to be a workhorse RB",Amon-Ra St Brown,"Targets decreased year over year
Teslaa could eat even more targets
Incredible target share from 10yd, 35%
27% target share still good
Utilization a little low, points per 100 good
Offense could take a step back, not ideal",TJ Hockenson,"Came back from injury slowly last year
Average pts/100, good util, avg tgts/G
New QB could be good/bad, TE can be
safety blanket.
That being said, still risky to be this high",,,,
7,Kyler Murray,"Murray had a very up/down season last year, but still finished with over 300 points.While his situation has stayed largely the same, it feels like a ""take over or get out"" kind of season for Murray, and I still believe in the talent. The rushing floor will keep him a safe option, and if Marvin Harrison and Kyler's connection builds in year 2 as it should then passing should go up, vaulting Murray back into the upper tier of QBs.",Devon Achane,"Achane is a PPR machine, one of the best when Tua is healthy. The problem is Tua is never healthy, and Achane comes with some injury risk himself, already at risk of missing week 1. I think there are safer and better options available, but if he falls and you do get him be sure to grab Ollie Gordon who you can basically get for free.",Drake London,"Elite 29% target share
Second half worse for snap % + points per 100
Michael Penix not great at QB, Kirk wasn't good though
Not much target competition
Has a path to be a top 3 WR if Penix is decent",Evan Engram,"Good pts/100 snaps (25)
Snap share won't necessarily carry to new team
Could be 2nd in targets, at least 3rd
Should be good for PPR, good preseason",,,,
8,Dak Prescott,"Dak Prescott is a major sleeper this year. The Parsons loss puts Dak in a Joe Burrow situation, where he will have to throw the lights out to keep them in games. Add Pickens as a legit WR2 makes this passing offense a true threat. Barring injury concerns which seem to plague him consistently, expect a bounce back year.",Josh Jacobs,"Josh Jacobs had a good year, and what's better is the second half was better than the first. Snap % went up, utilization % went up, points per 100 snaps went up. This is a good RB on a good offensive team without serious competition. While he's a little lower because he doesn't have the same receiving upside others do (only 2 receptions/G) he's still likely to see 10+ TDs and a good number of yards.",Puka Nacua,"Not great tgt share, could be impacted by injury
Great points per 100 snaps
Great team WR target share
Poor targets from 10
Good overall targets per game, Stafford loves him
Davante could take targets, Stafford can be hurt",Sam Laporta,"Average pts/100 snaps, bad util and tgt share
Current ADP is a play on talent over stats
Last year for whatever reason was not as
involved as he was the year before
With no Ben Johnson, no telling this year
Too risky to be this high",,,,
9,Justin Fields,"While Justin Fields may not be a great real NFL QB, he's awesome for fantasy. Last year's half season has people forgetting that when he plays, rushing floor basically guarantees him a top 10 QB spot PPG, with upside for more. While I don't expect great passing to bolster his stats, I do expect his rushing to make him a viable start every week. Totally fine waiting on QB and snagging him late.",Kyren Williams,"Kyren Williams is a volume back, but he continues to get that volume each year despite ""split with Corum"" talks happening. 87% snap % is elite, and he gets 82% of the carries within the 5 yard line. While he's not super efficient and if a more talented RB steps up he could be benched, I don't see that happening the year he gets his big contract extension. Bet on Kyren to be a safe RB1",Brian Thomas Jr,"Only 7.8 targets per game, did go up towards second half
Snap % up second half to elite levels
Efficiency still very good but little lower second half
Low WR target share in Jax
Good 10yd tgt share, 9 total targets
Competition from Hunter, Strange. Lawrence not great",Dalton Kincaid,"Average pts/100 snap, decent util, bad snap%
If he could get on the field more he'd be good
6 tgt/G better than most this late
Talent is there, could easily break out",,,,
10,Patrick Mahomes,"Mahomes had a down year last year, and there isn't much reason for hope it will be different this year. Rashee Rice is out for 6 games, so Worthy steps in as WR1 while Kelce continues to regress. While I could see an increase in TDs just from Worthy taking a second year leap and Rice hopefully landing on his feet, there are other non-rushing QBs with higher passing ceilings I'd rather have.",Ashton Jeanty,"Most people are higher on Jeanty than I am, largely due to round 1 rookie RBs usually working out, but there's some problems here. This offense is not very good, and the line isn't great. While I do think Jeanty has the ability to finish as an RB1 (especially with the receiving chops people fail to remember he has from his time leading RBs in receiving in college 2 years ago), I don't think it's as safe a lock as people believe, making him not worth his current ADP for me.",Tyreek Hill,"Last year was a weird year. Massive dip in team WR
target share, went from >70% to <50%
Lost Jonnu, Tua should be healthy
Really poor efficiencylow target share and tgt/G
2 years ago was 1700 yard season, could snap back
This ranking is more gut-based. See him doing better",Tyler Warren,"Excellent in college, could be #1 or #2 option
QB situation less than ideal, Jones could
support decent but not great
Likely a lower ceiling with poor QB play, but
looked good in preseason, could rise quickly",,,,
